Title,Artist,Album,Track,Genre,Year,Length,Filename,rms_perc_mean,rms_harm_mean,spectral_contrast_0,spectral_contrast_5,mfcc_2,mfcc_3,mfcc_4,Tempo
Fathom,2faces,Winter Collection 2017,17/19,Electronic,2017,410.0,2faces - 17 - Fathom.mp3,0.03319289678740151,0.16826430750171062,19.731574978730606,16.38619853788487,-5.350075,43.215176,-9.215625,123.046875
Let Me Be Myself,3 Doors Down,Unknown,100,Pop,Unknown,229.0,3 Doors Down - 100 - Let Me Be Myself.mp3,0.04980559070560003,0.11003587284015401,17.040741865276345,17.35628545366247,-5.350075,43.215176,-9.215625,156.60511363636363
Dont Trust Me,3OH!3,Unknown,060,Pop,2009,193.0,3OH!3 - 60 - Dont Trust Me.mp3,0.06836592184010852,0.13241126653078428,14.097685358973935,17.107762780336365,-5.350075,43.215176,-9.215625,87.5926906779661
Work,37 Rihanna Feat. Drake,100 Greatest Modern Pop Songs,037,Pop,2020,219.0,37 Rihanna Feat. Drake - 37 - Work.mp3,0.050315945033825644,0.1475806849791657,14.00554995366821,21.168449828680256,-5.350075,43.215176,-9.215625,120.18531976744185
"Price of Fame (Remix) (feat. Che Noir, Klass Murda & Ransom)",38 Spesh,The Academy 3,34/34,Hip Hop,2021,254.0,"38 Spesh - 34 - Price of Fame (Remix) (feat. Che Noir, Klass Murda & Ransom).mp3",0.06403535904381684,0.09695748481675402,16.568442346034733,17.886178226840002,-5.350075,43.215176,-9.215625,114.84375
The Montagues and the Capulets (op. 64b/1),Abbado,Prokofiev - Romeo and juliet,1,Classical,Unknown,299.0,Abbado - 01 - The Montagues and the Capulets (op. 64b1).mp3,0.008865160012553486,0.025088450602047774,13.963899592155801,20.576489344154595,-5.350075,43.215176,-9.215625,156.60511363636363
Rob Van Dam,Abe Linx & Tully Cicero,The Academy 3,29/34,Hip Hop,2021,129.0,Abe Linx & Tully Cicero - 29 - Rob Van Dam.mp3,0.05469403998210615,0.10440671001254419,19.8134728806113,19.794446410289382,-5.350075,43.215176,-9.215625,114.84375
Calma (Original Mix),Abey Brown,"Chill out Magnifique, Vol. 1",4,Electronic Chill,2019-10-25,387.0,Abey Brown - 04 - Calma (Original Mix).mp3,0.014160962386129877,0.09631707112881296,15.566111545002881,16.438616487308447,-5.350075,43.215176,-9.215625,82.03125
Hello,Adele,100 Greatest Modern Pop Songs,29,Pop,2020,296.0,Adele - 29 - Hello.mp3,0.014733307508197818,0.05693814644453922,18.704345690330406,21.122041558574363,-5.350075,43.215176,-9.215625,139.6748310810811
Chasing Pavements,Adele,Unknown,089,Pop,Unknown,211.0,Adele - 89 - Chasing Pavements.mp3,0.040013600199012414,0.08496820810547764,16.75244663520017,18.307453856963495,-5.350075,43.215176,-9.215625,161.4990234375
Hey Now,Adriana Evans ,The Ultimate Collection Soul 100 Hits CD04,14,Soul,2008,220.0,Adriana Evans  - 14 - Hey Now.mp3,0.033919168329416584,0.09838625939500625,20.936150874123452,17.457286893545017,-5.350075,43.215176,-9.215625,103.359375
Toys In the Attic,Aerosmith,(1975) Toys In the Attic,1/9,Rock,1975,189.0,Aerosmith - 01 - Toys In the Attic.mp3,0.03838902181841628,0.07323667018495951,19.98210080422439,16.2293304158571,-5.350075,43.215176,-9.215625,97.50884433962264
My Fist Your Face,Aerosmith,(1985) Done With Mirrors,2/9,Rock,1985,263.0,Aerosmith - 02 - My Fist Your Face.mp3,0.06461810143186643,0.10773953220947727,19.513936020379834,15.607468450465367,-5.350075,43.215176,-9.215625,135.99917763157896
Adams Apple,Aerosmith,(1975) Toys In the Attic,3/9,Rock,1975,276.0,Aerosmith - 03 - Adams Apple.mp3,0.03117121934919438,0.06085651639917206,18.57575027940421,17.090609421615014,-5.350075,43.215176,-9.215625,117.45383522727273
Excerpts From The Blues,Ahmad Jamal,(1960) Complete Trio Argo Sessions,04/19,Jazz Piano,1960,182.0,Ahmad Jamal - 04 - Excerpts From The Blues.mp3,0.013151940956750121,0.044178458477211864,14.565075401353361,15.835732681629725,-5.350075,43.215176,-9.215625,105.46875
I'll Never Stop Loving You,Ahmad Jamal,(1960) Complete Trio Argo Sessions,05/19,Jazz Piano,1960,181.0,Ahmad Jamal - 05 - I'll Never Stop Loving You.mp3,0.0036366255781460793,0.01620406616132936,23.09785226662692,14.583284329987581,-5.350075,43.215176,-9.215625,80.74951171875
Pavanne,Ahmad Jamal,(1960) Complete Trio Argo Sessions,06/19,Jazz Piano,1960,345.0,Ahmad Jamal - 06 - Pavanne.mp3,0.016787628296572675,0.0516034526740935,14.34444441867631,15.59205973133903,-5.350075,43.215176,-9.215625,105.46875
Beautiful,Akon ft. Colby ODonis  Kardinal Offishall,Unknown,031,Pop,2008,313.0,Akon ft. Colby ODonis  Kardinal Offishall - 31 - Beautiful.mp3,0.0639543815732872,0.15532064306326662,18.234708608095378,17.18937449140271,-5.350075,43.215176,-9.215625,129.19921875
Im So Paid,Akon ft. Lil Wayne  Young Jeezy,Unknown,057,Pop,2008,264.0,Akon ft. Lil Wayne  Young Jeezy - 57 - Im So Paid.mp3,0.06453527438567319,0.14053060010622426,18.950181759792255,17.96946685835547,-5.350075,43.215176,-9.215625,92.28515625
Just One Of Those Things,Al Haig,(1949-54) Trio & Sextets,01,Jazz Piano,1954,240.0,Al Haig - 01 - Just One Of Those Things.mp3,0.014249455305990824,0.03811789891219784,11.678791668055604,15.282710418082582,-5.350075,43.215176,-9.215625,178.20581896551724
Yardbird Suite,Al Haig,(1949-54) Trio & Sextets,02,Jazz Piano,1954,187.0,Al Haig - 02 - Yardbird Suite.mp3,0.01181870654987544,0.03410938608895888,12.662281579606141,15.134194855208259,-5.350075,43.215176,-9.215625,114.84375
Taboo,Al Haig,(1949-54) Trio & Sextets,03,Jazz Piano,1954,165.0,Al Haig - 03 - Taboo.mp3,0.010828167210846437,0.027016679330498165,12.16199741203914,16.794910205552064,-5.350075,43.215176,-9.215625,120.18531976744185
Mighty Like A Rose,Al Haig,(1949-54) Trio & Sextets,04,Jazz Piano,1954,292.0,Al Haig - 04 - Mighty Like A Rose.mp3,0.003900810216870225,0.024668752126098203,11.253262973256984,14.87552625027249,-5.350075,43.215176,-9.215625,139.6748310810811
Faded,Alan Walker,100 Greatest Modern Pop Songs,25,Pop,2020,213.0,Alan Walker - 25 - Faded.mp3,0.0375917946921204,0.1404055185373188,15.859190479970263,17.929370199946415,-5.350075,43.215176,-9.215625,90.66611842105263
Schubert - String Quartet #15 in G major - IV. Allegro assai,Alban Berg SQ,Schubert - String Quartet #15 D887 in G (Berg),4,Classical,1980,610.0,Alban Berg SQ - 04 - Schubert - String Quartet #15 in G major - IV. Allegro assai.mp3,0.003741768018681263,0.019179113783806018,16.89740832708789,24.84401823658269,-5.350075,43.215176,-9.215625,147.65625
Markov-Gershwin - 'Porgy' Rhapsody (with orchestra),Albert Markov,Markov plays Markov,08,Classical,1993,777.0,Albert Markov - 08 - Markov-Gershwin - 'Porgy' Rhapsody (with orchestra).mp3,0.004094427863358241,0.027323563883328062,15.850434805156695,27.911779718634065,-5.350075,43.215176,-9.215625,120.18531976744185
Return To The Truth,"Alex Aguayo, Silicodisco",Various Artists #2,8,Electronic,2021,449.0,"Alex Aguayo, Silicodisco - 08 - Return To The Truth.mp3",0.030906485026000217,0.09220176317119387,20.7776219774741,16.529225879468584,-5.350075,43.215176,-9.215625,120.18531976744185
