Title,Artist,Album,Track,Genre,Year,Length,Filename,rms_perc_mean,rms_harm_mean,spectral_contrast_0,spectral_contrast_5,mfcc_2,mfcc_3,mfcc_4,Tempo
Fathom,2faces,Winter Collection 2017,17/19,Electronic,2017,410.0,2faces - 17 - Fathom.mp3,0.03319289678740151,0.16826430750171062,19.731574978730606,16.38619853788487,-24.948105,36.458035,-1.4265603,123.046875
Let Me Be Myself,3 Doors Down,Unknown,100,Pop,Unknown,229.0,3 Doors Down - 100 - Let Me Be Myself.mp3,0.04980559070560003,0.11003587284015401,17.040741865276345,17.35628545366247,-24.948105,36.458035,-1.4265603,156.60511363636363
Dont Trust Me,3OH!3,Unknown,060,Pop,2009,193.0,3OH!3 - 60 - Dont Trust Me.mp3,0.06836592184010852,0.13241126653078428,14.097685358973935,17.107762780336365,-24.948105,36.458035,-1.4265603,87.5926906779661
Work,37 Rihanna Feat. Drake,100 Greatest Modern Pop Songs,037,Pop,2020,219.0,37 Rihanna Feat. Drake - 37 - Work.mp3,0.050315945033825644,0.1475806849791657,14.00554995366821,21.168449828680256,-24.948105,36.458035,-1.4265603,120.18531976744185
"Price of Fame (Remix) (feat. Che Noir, Klass Murda & Ransom)",38 Spesh,The Academy 3,34/34,Hip Hop,2021,254.0,"38 Spesh - 34 - Price of Fame (Remix) (feat. Che Noir, Klass Murda & Ransom).mp3",0.06403535904381684,0.09695748481675402,16.568442346034733,17.886178226840002,-24.948105,36.458035,-1.4265603,114.84375
The Montagues and the Capulets (op. 64b/1),Abbado,Prokofiev - Romeo and juliet,1,Classical,Unknown,299.0,Abbado - 01 - The Montagues and the Capulets (op. 64b1).mp3,0.008865160012553486,0.025088450602047774,13.963899592155801,20.576489344154595,-24.948105,36.458035,-1.4265603,156.60511363636363
Rob Van Dam,Abe Linx & Tully Cicero,The Academy 3,29/34,Hip Hop,2021,129.0,Abe Linx & Tully Cicero - 29 - Rob Van Dam.mp3,0.05469403998210615,0.10440671001254419,19.8134728806113,19.794446410289382,-24.948105,36.458035,-1.4265603,114.84375
Calma (Original Mix),Abey Brown,"Chill out Magnifique, Vol. 1",4,Electronic Chill,2019-10-25,387.0,Abey Brown - 04 - Calma (Original Mix).mp3,0.014160962386129877,0.09631707112881296,15.566111545002881,16.438616487308447,-24.948105,36.458035,-1.4265603,82.03125
Hello,Adele,100 Greatest Modern Pop Songs,29,Pop,2020,296.0,Adele - 29 - Hello.mp3,0.014733307508197818,0.05693814644453922,18.704345690330406,21.122041558574363,-24.948105,36.458035,-1.4265603,139.6748310810811
Chasing Pavements,Adele,Unknown,089,Pop,Unknown,211.0,Adele - 89 - Chasing Pavements.mp3,0.040013600199012414,0.08496820810547764,16.75244663520017,18.307453856963495,-24.948105,36.458035,-1.4265603,161.4990234375
Hey Now,Adriana Evans ,The Ultimate Collection Soul 100 Hits CD04,14,Soul,2008,220.0,Adriana Evans  - 14 - Hey Now.mp3,0.033919168329416584,0.09838625939500625,20.936150874123452,17.457286893545017,-24.948105,36.458035,-1.4265603,103.359375
Toys In the Attic,Aerosmith,(1975) Toys In the Attic,1/9,Rock,1975,189.0,Aerosmith - 01 - Toys In the Attic.mp3,0.03838902181841628,0.07323667018495951,19.98210080422439,16.2293304158571,-24.948105,36.458035,-1.4265603,97.50884433962264
My Fist Your Face,Aerosmith,(1985) Done With Mirrors,2/9,Rock,1985,263.0,Aerosmith - 02 - My Fist Your Face.mp3,0.06461810143186643,0.10773953220947727,19.513936020379834,15.607468450465367,-24.948105,36.458035,-1.4265603,135.99917763157896
Adams Apple,Aerosmith,(1975) Toys In the Attic,3/9,Rock,1975,276.0,Aerosmith - 03 - Adams Apple.mp3,0.03117121934919438,0.06085651639917206,18.57575027940421,17.090609421615014,-24.948105,36.458035,-1.4265603,117.45383522727273
Excerpts From The Blues,Ahmad Jamal,(1960) Complete Trio Argo Sessions,04/19,Jazz Piano,1960,182.0,Ahmad Jamal - 04 - Excerpts From The Blues.mp3,0.013151940956750121,0.044178458477211864,14.565075401353361,15.835732681629725,-24.948105,36.458035,-1.4265603,105.46875
I'll Never Stop Loving You,Ahmad Jamal,(1960) Complete Trio Argo Sessions,05/19,Jazz Piano,1960,181.0,Ahmad Jamal - 05 - I'll Never Stop Loving You.mp3,0.0036366255781460793,0.01620406616132936,23.09785226662692,14.583284329987581,-24.948105,36.458035,-1.4265603,80.74951171875
Pavanne,Ahmad Jamal,(1960) Complete Trio Argo Sessions,06/19,Jazz Piano,1960,345.0,Ahmad Jamal - 06 - Pavanne.mp3,0.016787628296572675,0.0516034526740935,14.34444441867631,15.59205973133903,-24.948105,36.458035,-1.4265603,105.46875
Beautiful,Akon ft. Colby ODonis  Kardinal Offishall,Unknown,031,Pop,2008,313.0,Akon ft. Colby ODonis  Kardinal Offishall - 31 - Beautiful.mp3,0.0639543815732872,0.15532064306326662,18.234708608095378,17.18937449140271,-24.948105,36.458035,-1.4265603,129.19921875
Im So Paid,Akon ft. Lil Wayne  Young Jeezy,Unknown,057,Pop,2008,264.0,Akon ft. Lil Wayne  Young Jeezy - 57 - Im So Paid.mp3,0.06453527438567319,0.14053060010622426,18.950181759792255,17.96946685835547,-24.948105,36.458035,-1.4265603,92.28515625
Just One Of Those Things,Al Haig,(1949-54) Trio & Sextets,01,Jazz Piano,1954,240.0,Al Haig - 01 - Just One Of Those Things.mp3,0.014249455305990824,0.03811789891219784,11.678791668055604,15.282710418082582,-24.948105,36.458035,-1.4265603,178.20581896551724
Yardbird Suite,Al Haig,(1949-54) Trio & Sextets,02,Jazz Piano,1954,187.0,Al Haig - 02 - Yardbird Suite.mp3,0.01181870654987544,0.03410938608895888,12.662281579606141,15.134194855208259,-24.948105,36.458035,-1.4265603,114.84375
Taboo,Al Haig,(1949-54) Trio & Sextets,03,Jazz Piano,1954,165.0,Al Haig - 03 - Taboo.mp3,0.010828167210846437,0.027016679330498165,12.16199741203914,16.794910205552064,-24.948105,36.458035,-1.4265603,120.18531976744185
Mighty Like A Rose,Al Haig,(1949-54) Trio & Sextets,04,Jazz Piano,1954,292.0,Al Haig - 04 - Mighty Like A Rose.mp3,0.003900810216870225,0.024668752126098203,11.253262973256984,14.87552625027249,-24.948105,36.458035,-1.4265603,139.6748310810811
Faded,Alan Walker,100 Greatest Modern Pop Songs,25,Pop,2020,213.0,Alan Walker - 25 - Faded.mp3,0.0375917946921204,0.1404055185373188,15.859190479970263,17.929370199946415,-24.948105,36.458035,-1.4265603,90.66611842105263
Schubert - String Quartet #15 in G major - IV. Allegro assai,Alban Berg SQ,Schubert - String Quartet #15 D887 in G (Berg),4,Classical,1980,610.0,Alban Berg SQ - 04 - Schubert - String Quartet #15 in G major - IV. Allegro assai.mp3,0.003741768018681263,0.019179113783806018,16.89740832708789,24.84401823658269,-24.948105,36.458035,-1.4265603,147.65625
Markov-Gershwin - 'Porgy' Rhapsody (with orchestra),Albert Markov,Markov plays Markov,08,Classical,1993,777.0,Albert Markov - 08 - Markov-Gershwin - 'Porgy' Rhapsody (with orchestra).mp3,0.004094427863358241,0.027323563883328062,15.850434805156695,27.911779718634065,-24.948105,36.458035,-1.4265603,120.18531976744185
Return To The Truth,"Alex Aguayo, Silicodisco",Various Artists #2,8,Electronic,2021,449.0,"Alex Aguayo, Silicodisco - 08 - Return To The Truth.mp3",0.030906485026000217,0.09220176317119387,20.7776219774741,16.529225879468584,-24.948105,36.458035,-1.4265603,120.18531976744185
Hope (Original Mix),Alexander Berry,"Chill out Magnifique, Vol. 1",20,Electronic Chill,2019-10-25,192.0,Alexander Berry - 20 - Hope (Original Mix).mp3,0.015121023664273335,0.043134379041364926,17.791978207084735,16.654339304065363,-24.948105,36.458035,-1.4265603,109.95678191489361
Callejon Oscuro,Alvaro Cabana,Various Artists #1,5,Electronic,2020,386.0,Alvaro Cabana - 05 - Callejon Oscuro.mp3,0.027720815258847564,0.1311473782951726,19.4222568235903,15.413510961479851,-24.948105,36.458035,-1.4265603,120.18531976744185
Breath Easy Now (Original Mix),Ambient North,"Chill out Magnifique, Vol. 2",17,Electronic Chill,2019-11-22,259.0,Ambient North - 17 - Breath Easy Now (Original Mix).mp3,0.038344744997119415,0.12016083530279031,18.1618672084911,20.27011775864934,-24.948105,36.458035,-1.4265603,74.89809782608695
"Less is more for the track, you know",Andreja Salpe,Various Artists #2,1,Electronic,2021,494.0,"Andreja Salpe - 01 - Less is more for the track, you know.mp3",0.02327644745933021,0.09857762663993558,21.429694311981354,23.956968460327925,-24.948105,36.458035,-1.4265603,109.95678191489361
 Wish I Don't Miss You,Angie Stone ,The Ultimate Collection Soul 100 Hits CD04,6,Soul,2008,258.0,Angie Stone  - 06 -  Wish I Don't Miss You.mp3,0.04219835543435141,0.08326911356028974,18.424796797081562,18.601065870858317,-24.948105,36.458035,-1.4265603,123.046875
"Berlioz - Symphonie fantastique - I. Reveries, passions",Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",1,Classical,1967,822.0,"Ansermet - OSR - 01 - Berlioz - Symphonie fantastique - I. Reveries, passions.mp3",0.0009271793873931901,0.008618773943296094,13.36279559556287,22.7770901618083,-24.948105,36.458035,-1.4265603,117.45383522727273
Berlioz - Symphonie fantastique - II. Un bal,Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",2,Classical,1967,371.0,Ansermet - OSR - 02 - Berlioz - Symphonie fantastique - II. Un bal.mp3,0.0028468150604706193,0.013434400122383706,14.523472198800444,21.816198313224408,-24.948105,36.458035,-1.4265603,60.09265988372093
Berlioz - Symphonie fantastique - III. Scène aux champs,Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",3,Classical,1967,967.0,Ansermet - OSR - 03 - Berlioz - Symphonie fantastique - III. Scène aux champs.mp3,0.00022288562057090006,0.003477595263100192,12.80410894570763,23.950362415374475,-24.948105,36.458035,-1.4265603,198.76802884615384
Berlioz - Symphonie fantastique - IV. Marche au supplice,Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",4,Classical,1967,309.0,Ansermet - OSR - 04 - Berlioz - Symphonie fantastique - IV. Marche au supplice.mp3,0.005824992130155308,0.023298318983486516,17.281801443181163,18.95746469299497,-24.948105,36.458035,-1.4265603,135.99917763157896
Berlioz - Symphonie fantastique - V. Songe d'une nuit du sabbat,Ansermet - OSR,"Berlioz - Symphonie fantastique (Ansermet, OSR)",5,Classical,1967,623.0,Ansermet - OSR - 05 - Berlioz - Symphonie fantastique - V. Songe d'une nuit du sabbat.mp3,0.002569047257435411,0.009652988796319636,14.024974405517476,18.976643941768177,-24.948105,36.458035,-1.4265603,109.95678191489361
Berlioz - Le Carnaval Romain - Overture,Ansermet - OSR,"Berlioz - Overtures, Faust  (Ansermet, OSR)",7,Classical,1964,571.0,Ansermet - OSR - 07 - Berlioz - Le Carnaval Romain - Overture.mp3,0.0005666884275879738,0.005383154460576392,12.984421577295633,21.351523195227802,-24.948105,36.458035,-1.4265603,166.70866935483872
Berlioz - La damnation de Faust - Danse des Sylphes,Ansermet - OSR,"Berlioz - Overtures, Faust  (Ansermet, OSR)",8,Classical,1964,138.0,Ansermet - OSR - 08 - Berlioz - La damnation de Faust - Danse des Sylphes.mp3,0.0010875120386310505,0.005045008795513064,11.432005236840723,19.48104860411684,-24.948105,36.458035,-1.4265603,147.65625
Berlioz - La damnation de Faust - Marche Hongroise,Ansermet - OSR,"Berlioz - Overtures, Faust  (Ansermet, OSR)",9,Classical,1964,291.0,Ansermet - OSR - 09 - Berlioz - La damnation de Faust - Marche Hongroise.mp3,0.005161956166695087,0.017562417282124137,17.02551274954061,21.821524077510364,-24.948105,36.458035,-1.4265603,92.28515625
Devotion,Aperio/Georgia Ward,Liquicity Summer 2021,2,Electronic,2021,298.0,AperioGeorgia Ward - 02 - Devotion.mp3,0.06756201080538633,0.0786215247404067,23.282770816497592,15.213856423614244,-24.948105,36.458035,-1.4265603,172.265625
Chain Of Fools,Aretha Franklin,Classic R&B,2/14,Rhythm n Blues,2003,166.0,Aretha Franklin - 02 - Chain Of Fools.mp3,0.01966938934965123,0.05011836987539441,13.551641791158028,19.006823485078723,-24.948105,36.458035,-1.4265603,117.45383522727273
Think,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),2/24,Rhythm n Blues,2003,136.0,Aretha Franklin - 02 - Think.mp3,0.043852098925914254,0.09550719761622092,16.53089205983388,18.147232196703957,-24.948105,36.458035,-1.4265603,109.95678191489361
Son of a Preacher Man,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),6/24,Rhythm n Blues,2003,196.0,Aretha Franklin - 06 - Son of a Preacher Man.mp3,0.030721552415347516,0.06576922625070394,16.645935102952684,19.17720527900714,-24.948105,36.458035,-1.4265603,161.4990234375
I Never Loved a Man (The Way I Love You),Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),7/24,Rhythm n Blues,2003,169.0,Aretha Franklin - 07 - I Never Loved a Man (The Way I Love You).mp3,0.024498336691655614,0.08145684873614552,18.363517651097542,20.50408465057983,-24.948105,36.458035,-1.4265603,93.96306818181819
Night Time Is The Right Time,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 2),8/19,Rhythm n Blues,2002,285.0,Aretha Franklin - 08 - Night Time Is The Right Time.mp3,0.02556414888156407,0.06361188886793051,16.86812203288739,19.712869326167812,-24.948105,36.458035,-1.4265603,103.359375
Don't Play That Song (You Lied),Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),9/24,Rhythm n Blues,2003,179.0,Aretha Franklin - 09 - Don't Play That Song (You Lied).mp3,0.03197088296276851,0.08285194316912681,17.71432579136987,19.543123890240206,-24.948105,36.458035,-1.4265603,109.95678191489361
"Baby, I Love You",Aretha Franklin,The Very Best Of Aretha Franklin,12/20,Rhythm n Blues,1994,159.0,"Aretha Franklin - 12 - Baby, I Love You.mp3",0.00960508340920919,0.02611403052297563,14.239204480755362,19.937007391427873,-24.948105,36.458035,-1.4265603,87.5926906779661
The Weight,Aretha Franklin,The Very Best,13/16,Rhythm n Blues,1994,175.0,Aretha Franklin - 13 - The Weight.mp3,0.03270722415094091,0.06302539978651223,12.942753785078983,19.898421126548,-24.948105,36.458035,-1.4265603,120.18531976744185
Eleanor Rigby,Aretha Franklin,The Very Best,14/16,Rhythm n Blues,1994,158.0,Aretha Franklin - 14 - Eleanor Rigby.mp3,0.02694620730428339,0.056400887813169494,12.567522225587819,19.535455222990066,-24.948105,36.458035,-1.4265603,123.046875
Today I Sing The Blues,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 2),14/19,Rhythm n Blues,2002,262.0,Aretha Franklin - 14 - Today I Sing The Blues.mp3,0.010928820753102,0.047372029802633976,16.51220407676727,19.842579229948925,-24.948105,36.458035,-1.4265603,123.046875
Good Times,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),17/24,Rhythm n Blues,2003,126.0,Aretha Franklin - 17 - Good Times.mp3,0.039823314368828105,0.10836645284836352,18.918264134864195,19.48616716449088,-24.948105,36.458035,-1.4265603,112.34714673913044
Do Right Woman - Do Right Man,Aretha Franklin,Respect - The Very Best Of Aretha Franklin (Disc 1),21/24,Rhythm n Blues,2003,193.0,Aretha Franklin - 21 - Do Right Woman - Do Right Man.mp3,0.017426441075823307,0.05843229845176801,15.842969544169225,18.845592851940552,-24.948105,36.458035,-1.4265603,123.046875
One Last Time,"Ariana Grande, Carl Falk, Savan Kotecha, Jeanette Olsson",100 Greatest Modern Pop Songs,17,Pop,2020,197.0,"Ariana Grande, Carl Falk, Savan Kotecha, Jeanette Olsson - 17 - One Last Time.mp3",0.054546164703352204,0.16596072280494187,14.49665672823103,18.92043622160491,-24.948105,36.458035,-1.4265603,83.35433467741936
Moanin',Art Blakey,"Moanin', 1958",02,Jazz,1958,571.0,Art Blakey - 02 - Moanin'.mp3,0.022151450375931237,0.07093881894455058,15.284884917033372,17.630092992845565,-24.948105,36.458035,-1.4265603,129.19921875
Just One Of Those Things,Art Tatum,(1956) Art Tatum Trio,01,Jazz Piano,1956,434.0,Art Tatum - 01 - Just One Of Those Things.mp3,0.006508835512025125,0.024959476202864504,13.409027189983284,17.90762302275878,-24.948105,36.458035,-1.4265603,143.5546875
More Than You Know,Art Tatum,(1956) Art Tatum Trio,02,Jazz Piano,1956,217.0,Art Tatum - 02 - More Than You Know.mp3,0.004431260723414555,0.020220420563425396,12.743378933662797,18.17436555965347,-24.948105,36.458035,-1.4265603,43.79634533898305
Some Other Spring,Art Tatum,(1956) Art Tatum Trio,03,Jazz Piano,1956,284.0,Art Tatum - 03 - Some Other Spring.mp3,0.004189067833385669,0.018593706469107203,12.527788944816853,18.13154740790271,-24.948105,36.458035,-1.4265603,26.777040155440414
If,Art Tatum,(1956) Art Tatum Trio,04,Jazz Piano,1956,213.0,Art Tatum - 04 - If.mp3,0.004821373934599017,0.018484518582860418,12.52356362690196,18.30416769183197,-24.948105,36.458035,-1.4265603,103.359375
Beethoven - Sonata No. 1 - 1. Alegro con brio Tema con variazioni,Arthur Grumiaux,"Beethoven - Sonata No. 1 in D, Op. 12, No. 1 (Grumiaux)",1,Classical,1957,398.0,Arthur Grumiaux - 01 - Beethoven - Sonata No. 1 - 1. Alegro con brio Tema con variazioni.mp3,0.008529889883084448,0.06168804668057732,18.637749830900045,25.560236075252565,-24.948105,36.458035,-1.4265603,156.60511363636363
Mozart - Concerto No.1 in B flat KV207 - 1. Allegro moderato ,Arthur Grumiaux,"Mozart - Concerto No.1 in B flat KV207 (Grumiaux,1962)",01,Classical,1962,395.0,Arthur Grumiaux - 01 - Mozart - Concerto No.1 in B flat KV207 - 1. Allegro moderato .mp3,0.00480883987931726,0.027254661152599897,13.276689982824555,24.064200886480247,-24.948105,36.458035,-1.4265603,126.04801829268293
"Haydn - Concerto No. 1 in C major, H. 7a/1: 2 Adagio",Arthur Grumiaux,"Haydn - Concerto No.1 in C major, H. 7a/1 (Grumiaux)",2/9,Classical,1964,275.0,"Arthur Grumiaux - 02 - Haydn - Concerto No. 1 in C major, H. 7a1 2 Adagio.mp3",0.000774972391535632,0.010791044524377449,11.815085284708934,27.670779631104214,-24.948105,36.458035,-1.4265603,132.51201923076923
Mozart - Concerto No.1 in B flat KV207 - 2. Adagio ,Arthur Grumiaux,"Mozart - Concerto No.1 in B flat KV207 (Grumiaux,1962)",02,Classical,1962,417.0,Arthur Grumiaux - 02 - Mozart - Concerto No.1 in B flat KV207 - 2. Adagio .mp3,0.0030337444133404067,0.020254494546310294,12.6120651423083,22.07430209558239,-24.948105,36.458035,-1.4265603,112.34714673913044
Bach Concerto for 2 Violins in D Minor - III.,Arthur Grumiaux,"Bach - Concerto for 2 Violins in D Minor, BVW 1043 (Grumiaux)",03,Classical,1978,305.0,Arthur Grumiaux - 03 - Bach Concerto for 2 Violins in D Minor - III..mp3,0.005836268421699921,0.03192269907833718,11.112446548036742,25.06506397953619,-24.948105,36.458035,-1.4265603,95.703125
"Bruch - Scottish Fantasy, Op.46 - III. Scherzo - Allegro - Adagio",Arthur Grumiaux,"Bruch - Scottish Fantasy, Op.46 (Grumiaux)",03/11,Classical,1973,377.0,"Arthur Grumiaux - 03 - Bruch - Scottish Fantasy, Op.46 - III. Scherzo - Allegro - Adagio.mp3",0.008655890308541532,0.027768618866474217,19.972272044047696,23.474743698651096,-24.948105,36.458035,-1.4265603,120.18531976744185
"Haydn - Concerto in G major, H. 7a/4: 3 Allegro",Arthur Grumiaux,"Haydn - Concerto No.4 in G major, H. 7a/4 (Grumiaux)",03/9,Classical,1967,231.0,"Arthur Grumiaux - 03 - Haydn - Concerto in G major, H. 7a4 3 Allegro.mp3",0.005961891063132283,0.026875931344049465,13.322854494683307,22.787527613039508,-24.948105,36.458035,-1.4265603,143.5546875
"Beethoven: Violin Romance #2 In F, Op. 50",Arthur Grumiaux,(1967-75) Showpieces with Orchestra,07/5,Classical,1974,483.0,"Arthur Grumiaux - 07 - Beethoven Violin Romance #2 In F, Op. 50.mp3",0.0022051290133153867,0.013385282904288826,12.516609163461231,22.931534913753204,-24.948105,36.458035,-1.4265603,109.95678191489361
"Vivaldi - Concerto in E, RV 271 'L'amoroso', III Allegro",Arthur Grumiaux,"Vivaldi - Concerto in E, RV 271 'L'amoroso' (Grumiaux)",11/11,Classical,1973,222.0,"Arthur Grumiaux - 11 - Vivaldi - Concerto in E, RV 271 'L'amoroso', III Allegro.mp3",0.003538764066071433,0.028523581863083233,14.032688313788348,25.68701617301134,-24.948105,36.458035,-1.4265603,101.33272058823529
Secret Lovers,Atlantic Starr ,The Ultimate Collection Soul 100 Hits CD02,4,Soul,2008,217.0,Atlantic Starr  - 04 - Secret Lovers.mp3,0.030311496465144847,0.07997372162355805,16.02828302643399,16.90759724236395,-24.948105,36.458035,-1.4265603,78.30255681818181
Voodoo Rythm,Atlas 221,Various Artists #1,4,Electronic,2020,394.0,Atlas 221 - 04 - Voodoo Rythm.mp3,0.030524306531505993,0.09397189349300335,19.195103845098807,16.53517579863334,-24.948105,36.458035,-1.4265603,117.45383522727273
Noa (feat. Leonie),Audioleptika,Winter Collection 2017,11/19,Electronic,2017,429.0,Audioleptika - 11 - Noa (feat. Leonie).mp3,0.033260337229252666,0.14868467691763637,18.323284742880283,17.88526636862882,-24.948105,36.458035,-1.4265603,120.18531976744185
Wake Me Up,"Avicii, Aloe Blacc, Mike Einziger",100 Greatest Modern Pop Songs,15,Pop,2020,426.0,"Avicii, Aloe Blacc, Mike Einziger - 15 - Wake Me Up.mp3",0.02782880831290397,0.07649675912855126,18.24990500781513,16.715595945341274,-24.948105,36.458035,-1.4265603,126.04801829268293
Playin' with My Friends (with Robert Cray),B.B. King,Blues Summit,1/12,Blues,1993,319.0,B.B. King - 01 - Playin' with My Friends (with Robert Cray).mp3,0.027450233877764612,0.058829924900646785,15.104988515702304,17.874809047899415,-24.948105,36.458035,-1.4265603,120.18531976744185
Since I Met You Baby (with Katie Webster),B.B. King,Blues Summit,2/12,Blues,1993,285.0,B.B. King - 02 - Since I Met You Baby (with Katie Webster).mp3,0.015517951482182034,0.04516327270279801,18.27819234153677,20.441994333347644,-24.948105,36.458035,-1.4265603,129.19921875
I Pity the Fool (with Buddy Guy),B.B. King,Blues Summit,3/12,Blues,1993,277.0,B.B. King - 03 - I Pity the Fool (with Buddy Guy).mp3,0.031169880632588493,0.054042882645023826,13.10409110692631,18.13126876618162,-24.948105,36.458035,-1.4265603,117.45383522727273
You Shook Me (with John Lee Hooker),B.B. King,Blues Summit,4/12,Blues,1993,299.0,B.B. King - 04 - You Shook Me (with John Lee Hooker).mp3,0.01604551704185167,0.041109035805464295,17.202991472616443,18.45056487522041,-24.948105,36.458035,-1.4265603,117.45383522727273
You've Done Lost You're Good Thing Now,B.B. King,Classics,5/10,Blues,1996,308.0,B.B. King - 05 - You've Done Lost You're Good Thing Now.mp3,0.006459078515840562,0.023370886447238,10.290955302956728,26.169618831968755,-24.948105,36.458035,-1.4265603,92.28515625
B.b. Blues (Original Mix),B.B. King,"The Magic of Rhythm and Blues, Vol. 1",07,Rhythm n Blues,2021,149.0,B.B. King - 07 - B.b. Blues (Original Mix).mp3,0.026321572813329606,0.0796639923882724,11.24081190760951,20.339376109886896,-24.948105,36.458035,-1.4265603,86.1328125
Call It Stormy Monday (with Albert Collins),B.B. King,Blues Summit,8/12,Blues,1993,438.0,B.B. King - 08 - Call It Stormy Monday (with Albert Collins).mp3,0.01613665152635535,0.037766394492301486,16.47017111036928,17.606142293601867,-24.948105,36.458035,-1.4265603,135.99917763157896
Confessin' The Blues (With Marty Stuard),B.B. King,Deuces Wild,09,Blues,1997,262.0,B.B. King - 09 - Confessin' The Blues (With Marty Stuard).mp3,0.035139393337661674,0.0733306374132058,14.717398466695398,16.90730983730519,-24.948105,36.458035,-1.4265603,114.84375
It's My Own Fault Baby,B.B. King,Classics,9/10,Blues,1996,213.0,B.B. King - 09 - It's My Own Fault Baby.mp3,0.011754630746127225,0.035866746777945165,12.552987821062164,23.482867127300786,-24.948105,36.458035,-1.4265603,287.109375
The Thrill Is Gone,B.B. King,Classics,10/10,Blues,1996,292.0,B.B. King - 10 - The Thrill Is Gone.mp3,0.00824459664630579,0.020375201601487987,10.169599444626474,19.173149497856123,-24.948105,36.458035,-1.4265603,84.72079918032787
