Title,Artist,Album,Track,Genre,Year,Length,Filename,zero_crossing_rate_mean,rms_mean,chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,Tempo
Fathom,2faces,Winter Collection 2017,17/19,Electronic,2017,410.0,2faces - 17 - Fathom.mp3,0.04825055857560952,0.30721763,0.6781067,1667.5500154062518,1878.0762942901144,3618.432286501669,123.046875
Let Me Be Myself,3 Doors Down,Unknown,100,Pop,Unknown,229.0,3 Doors Down - 100 - Let Me Be Myself.mp3,0.05411021702060759,0.24255174,0.50172836,1412.2565465947032,1738.7705692176498,3043.29201429621,156.60511363636363
Dont Trust Me,3OH!3,Unknown,060,Pop,2009,193.0,3OH!3 - 60 - Dont Trust Me.mp3,0.07668254840484713,0.28280097,0.4689173,1596.4685832322734,1591.6771783211225,3125.597766604586,129.19921875
Work,37 Rihanna Feat. Drake,100 Greatest Modern Pop Songs,037,Pop,2020,219.0,37 Rihanna Feat. Drake - 37 - Work.mp3,0.06431952792424536,0.3002133,0.3942012,1685.0569263902548,1945.7466844972157,3676.879849743917,123.046875
"Price of Fame (Remix) (feat. Che Noir, Klass Murda & Ransom)",38 Spesh,The Academy 3,34/34,Hip Hop,2021,254.0,"38 Spesh - 34 - Price of Fame (Remix) (feat. Che Noir, Klass Murda & Ransom).mp3",0.06831137831366099,0.23962496,0.44316092,1745.2816070985891,1988.681913478051,3804.276996057469,139.6748310810811
The Montagues and the Capulets (op. 64b/1),Abbado,Prokofiev - Romeo and juliet,1,Classical,Unknown,299.0,Abbado - 01 - The Montagues and the Capulets (op. 64b1).mp3,0.02532335405379257,0.053456545,0.4089547,610.4488804665824,1085.2020135733155,1030.8333500250944,143.5546875
Rob Van Dam,Abe Linx & Tully Cicero,The Academy 3,29/34,Hip Hop,2021,129.0,Abe Linx & Tully Cicero - 29 - Rob Van Dam.mp3,0.06382831774259869,0.24015543,0.43484506,1493.29549108202,1725.74420036986,3136.343534959728,117.45383522727273
Calma (Original Mix),Abey Brown,"Chill out Magnifique, Vol. 1",4,Electronic Chill,2019-10-25,387.0,Abey Brown - 04 - Calma (Original Mix).mp3,0.008573077411474459,0.18345329,0.4172158,348.1291206324633,839.8873258457611,494.0949289422286,161.4990234375
Hello,Adele,100 Greatest Modern Pop Songs,29,Pop,2020,296.0,Adele - 29 - Hello.mp3,0.04177299003482972,0.15116595,0.36138746,1039.4914031382818,1425.421534372692,2127.0558879840487,156.60511363636363
Chasing Pavements,Adele,Unknown,089,Pop,Unknown,211.0,Adele - 89 - Chasing Pavements.mp3,0.08349382619001548,0.17238128,0.36682427,1865.135320096119,2039.2142555607031,4183.966366794456,79.50721153846153
Hey Now,Adriana Evans ,The Ultimate Collection Soul 100 Hits CD04,14,Soul,2008,220.0,Adriana Evans  - 14 - Hey Now.mp3,0.04518075476489938,0.20381592,0.3978543,1280.5102995312834,1663.1218726064926,2832.9787026986987,103.359375
Toys In the Attic,Aerosmith,(1975) Toys In the Attic,1/9,Rock,1975,189.0,Aerosmith - 01 - Toys In the Attic.mp3,0.0730756163228038,0.17110434,0.50514877,1516.5456410402098,1643.655010478279,3193.022358897301,99.38401442307692
My Fist Your Face,Aerosmith,(1985) Done With Mirrors,2/9,Rock,1985,263.0,Aerosmith - 02 - My Fist Your Face.mp3,0.13010550578681307,0.25557053,0.4997604,2689.465735596993,2690.622442461428,6182.645947719137,135.99917763157896
Adams Apple,Aerosmith,(1975) Toys In the Attic,3/9,Rock,1975,276.0,Aerosmith - 03 - Adams Apple.mp3,0.06783084456027477,0.14304423,0.4720218,1335.5507000539196,1410.063246650416,2729.7959932970925,123.046875
Excerpts From The Blues,Ahmad Jamal,(1960) Complete Trio Argo Sessions,04/19,Jazz Piano,1960,182.0,Ahmad Jamal - 04 - Excerpts From The Blues.mp3,0.028811711644978717,0.09429564,0.40730548,1027.8141262108836,1720.42587171493,2074.07079171101,99.38401442307692
I'll Never Stop Loving You,Ahmad Jamal,(1960) Complete Trio Argo Sessions,05/19,Jazz Piano,1960,181.0,Ahmad Jamal - 05 - I'll Never Stop Loving You.mp3,0.02942404732246517,0.039426964,0.3435956,1017.97767047947,1799.1904933077078,1912.9113495534418,80.74951171875
Pavanne,Ahmad Jamal,(1960) Complete Trio Argo Sessions,06/19,Jazz Piano,1960,345.0,Ahmad Jamal - 06 - Pavanne.mp3,0.02833278407991486,0.109211266,0.45294467,1074.2604543958944,1775.5962181478308,2273.327920163748,105.46875
Beautiful,Akon ft. Colby ODonis  Kardinal Offishall,Unknown,031,Pop,2008,313.0,Akon ft. Colby ODonis  Kardinal Offishall - 31 - Beautiful.mp3,0.05464054261198723,0.32593426,0.3847901,1647.082951508112,1955.2658035399418,3822.8206339266276,129.19921875
Im So Paid,Akon ft. Lil Wayne  Young Jeezy,Unknown,057,Pop,2008,264.0,Akon ft. Lil Wayne  Young Jeezy - 57 - Im So Paid.mp3,0.07091226961590558,0.31358844,0.4728584,1755.0940256854901,1890.1763442858994,3783.868786129789,184.5703125
Just One Of Those Things,Al Haig,(1949-54) Trio & Sextets,01,Jazz Piano,1954,240.0,Al Haig - 01 - Just One Of Those Things.mp3,0.03972103721217105,0.08064244,0.30870512,1052.1430796163186,1446.9452660840705,2263.5800624410435,178.20581896551724
Yardbird Suite,Al Haig,(1949-54) Trio & Sextets,02,Jazz Piano,1954,187.0,Al Haig - 02 - Yardbird Suite.mp3,0.0464285741280476,0.06436318,0.41127947,1215.1912493535356,1528.070219419477,2652.606876715787,114.84375
Taboo,Al Haig,(1949-54) Trio & Sextets,03,Jazz Piano,1954,165.0,Al Haig - 03 - Taboo.mp3,0.040070430413119196,0.057373017,0.3760575,1029.2265097285754,1348.4903276676607,2166.8806471691782,120.18531976744185
Mighty Like A Rose,Al Haig,(1949-54) Trio & Sextets,04,Jazz Piano,1954,292.0,Al Haig - 04 - Mighty Like A Rose.mp3,0.028383331771236454,0.044945013,0.28634772,693.1840584090705,1207.5450039756488,1028.0667000879814,143.5546875
Faded,Alan Walker,100 Greatest Modern Pop Songs,25,Pop,2020,213.0,Alan Walker - 25 - Faded.mp3,0.06769649163119196,0.2865055,0.3678372,1901.3097348307388,2134.754602387051,4238.1431225283595,90.66611842105263
Schubert - String Quartet #15 in G major - IV. Allegro assai,Alban Berg SQ,Schubert - String Quartet #15 D887 in G (Berg),4,Classical,1980,610.0,Alban Berg SQ - 04 - Schubert - String Quartet #15 in G major - IV. Allegro assai.mp3,0.044127473152089786,0.038139403,0.2967442,781.751947128827,972.7704677778495,1430.7934315212,147.65625
Markov-Gershwin - 'Porgy' Rhapsody (with orchestra),Albert Markov,Markov plays Markov,08,Classical,1993,777.0,Albert Markov - 08 - Markov-Gershwin - 'Porgy' Rhapsody (with orchestra).mp3,0.06697181725280572,0.0520564,0.23994279,1072.4358344153507,1053.9375144042058,1746.5352722734858,120.18531976744185
Return To The Truth,"Alex Aguayo, Silicodisco",Various Artists #2,8,Electronic,2021,449.0,"Alex Aguayo, Silicodisco - 08 - Return To The Truth.mp3",0.07688804602844428,0.17367795,0.54212046,1609.6175559822382,1666.3403367441229,3335.2152490763474,120.18531976744185
Hope (Original Mix),Alexander Berry,"Chill out Magnifique, Vol. 1",20,Electronic Chill,2019-10-25,192.0,Alexander Berry - 20 - Hope (Original Mix).mp3,0.03438150033862229,0.10170122,0.5266953,853.9026791702736,1153.6382210867785,1601.8069807589977,79.50721153846153
Callejon Oscuro,Alvaro Cabana,Various Artists #1,5,Electronic,2020,386.0,Alvaro Cabana - 05 - Callejon Oscuro.mp3,0.036125537411716334,0.24432729,0.6179068,1511.8986705702796,1974.7719493094546,3311.6278917058703,120.18531976744185
Breath Easy Now (Original Mix),Ambient North,"Chill out Magnifique, Vol. 2",17,Electronic Chill,2019-11-22,259.0,Ambient North - 17 - Breath Easy Now (Original Mix).mp3,0.048028810105456655,0.24744564,0.5052112,1244.0362171194288,1665.0320780831598,2640.819447992756,74.89809782608695
"Less is more for the track, you know",Andreja Salpe,Various Artists #2,1,Electronic,2021,494.0,"Andreja Salpe - 01 - Less is more for the track, you know.mp3",0.017349573849893576,0.19272405,0.46481112,365.19866578806153,498.2178201960953,681.775044066249,109.95678191489361
 Wish I Don't Miss You,Angie Stone ,The Ultimate Collection Soul 100 Hits CD04,6,Soul,2008,258.0,Angie Stone  - 06 -  Wish I Don't Miss You.mp3,0.04120260421705689,0.1917537,0.4689532,1159.8505164569833,1612.6580492971766,2622.052894804869,123.046875
