Title;Artist;Album;Track;Genre;Year;Length;Filename;
Fathom;2faces;Winter Collection 2017;17/19;Electronic;2017;410;2faces - 17 - Fathom.mp3;
Let Me Be Myself;3 Doors Down;;100;Pop;;229;3 Doors Down - 100 - Let Me Be Myself.mp3;
Dont Trust Me;3OH!3;;060;Pop;2009;193;3OH!3 - 60 - Dont Trust Me.mp3;
Work;37 Rihanna Feat. Drake;100 Greatest Modern Pop Songs;037;Pop;2020;219;37 Rihanna Feat. Drake - 37 - Work.mp3;
Price of Fame (Remix) (feat. Che Noir, Klass Murda & Ransom);38 Spesh;The Academy 3;34/34;Hip Hop;2021;254;38 Spesh - 34 - Price of Fame (Remix) (feat. Che Noir, Klass Murda & Ransom).mp3;
The Montagues and the Capulets (op. 64b/1);Abbado;Prokofiev - Romeo and juliet;1;Classical;;299;Abbado - 01 - The Montagues and the Capulets (op. 64b1).mp3;
Rob Van Dam;Abe Linx & Tully Cicero;The Academy 3;29/34;Hip Hop;2021;129;Abe Linx & Tully Cicero - 29 - Rob Van Dam.mp3;
Calma (Original Mix);Abey Brown;Chill out Magnifique, Vol. 1;4;Electronic Chill;2019-10-25;387;Abey Brown - 04 - Calma (Original Mix).mp3;
Hello;Adele;100 Greatest Modern Pop Songs;29;Pop;2020;296;Adele - 29 - Hello.mp3;
Chasing Pavements;Adele;;089;Pop;;211;Adele - 89 - Chasing Pavements.mp3;
Hey Now;Adriana Evans ;The Ultimate Collection Soul 100 Hits CD04;14;Soul;2008;220;Adriana Evans  - 14 - Hey Now.mp3;
Toys In the Attic;Aerosmith;(1975) Toys In the Attic;1/9;Rock;1975;189;Aerosmith - 01 - Toys In the Attic.mp3;
My Fist Your Face;Aerosmith;(1985) Done With Mirrors;2/9;Rock;1985;263;Aerosmith - 02 - My Fist Your Face.mp3;
Adams Apple;Aerosmith;(1975) Toys In the Attic;3/9;Rock;1975;276;Aerosmith - 03 - Adams Apple.mp3;
Excerpts From The Blues;Ahmad Jamal;(1960) Complete Trio Argo Sessions;04/19;Jazz Piano;1960;182;Ahmad Jamal - 04 - Excerpts From The Blues.mp3;
I'll Never Stop Loving You;Ahmad Jamal;(1960) Complete Trio Argo Sessions;05/19;Jazz Piano;1960;181;Ahmad Jamal - 05 - I'll Never Stop Loving You.mp3;
Pavanne;Ahmad Jamal;(1960) Complete Trio Argo Sessions;06/19;Jazz Piano;1960;345;Ahmad Jamal - 06 - Pavanne.mp3;
Beautiful;Akon ft. Colby ODonis  Kardinal Offishall;;031;Pop;2008;313;Akon ft. Colby ODonis  Kardinal Offishall - 31 - Beautiful.mp3;
Im So Paid;Akon ft. Lil Wayne  Young Jeezy;;057;Pop;2008;264;Akon ft. Lil Wayne  Young Jeezy - 57 - Im So Paid.mp3;
